54708	149	Motorscan	SMOKE RPM 9000	Contagiri	OMNISERVICE S.r.l.	Bongiovanni	CONSORZIO CENTRO REVISIONE BRIANZA	Monza e Brianza (MB)	26/03/2014 12:14	38996
53001	164	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Franchin	NUOVA SAVARA SRL	Milano (MI)	28/02/2014 14:47	35813
65108	181	Space	PFM400	Prova freni	OMNISERVICE S.r.l.	Vicidomini	BONORA AUTO S.R.L.	Brescia (BS)	06/11/2014 12:26	43721
65109	186	Space	APV 500	Prova velocità	OMNISERVICE S.r.l.	Vicidomini	BONORA AUTO S.R.L.	Brescia (BS)	06/11/2014 12:32	43722
62847	215	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	NEW CAR S.N.C.	Milano (MI)	07/10/2014 12:13	43694
59800	216	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	F.LLI MERCURI S.N.C.	Milano (MI)	14/07/2014 11:26	38882
58605	217	Motorscan	GAS RPM COUNTER	Contagiri	OMNISERVICE S.r.l.	Franchin	PEGASUS S.R.L.	Biella (BI)	17/06/2014 15:16	38949
58610	217	Motorscan	TOTALGAS MODULE 8060	Analizzatore Gas	OMNISERVICE S.r.l.	Franchin	PEGASUS S.R.L.	Biella (BI)	17/06/2014 15:24	38952
57726	238	Ravaglioli	R 203 I	Prova giochi	OMNISERVICE S.r.l.	Franchin	CAMMARANO S.N.C	Varese (VA)	28/05/2014 14:39	38933
65745	257	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Rulli	G.L. AUTO SRLS	Milano (MI)	24/11/2014 17:30	43887
62720	286	Tecnotest	2035	Contagiri	OMNISERVICE S.r.l.	Franchin	AUTO 90 EVOLUTION S.R.L.	Milano (MI)	03/10/2014 16:10	43665
48910	301	A.G.M. COS.MET	HPD-E	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	NUOVA FORLANINI S.R.L.	Milano (MI)	07/01/2014 10:04	33827
62302	301	A.G.M. COS.MET	HPD-E	Prova giochi	OMNISERVICE S.r.l.	Rulli	NUOVA FORLANINI S.R.L.	Milano (MI)	26/09/2014 15:12	38992
54759	302	Cormart	6601	Prova giochi	OMNISERVICE S.r.l.	Bongiovanni	CENTRO REVISIONI ANTEGNATE S.R.L	Bergamo (BG)	27/03/2014 10:17	39000
65169	310	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Bongiovanni	MESSINA LUIGI AUTOFFICINA	Milano (MI)	07/11/2014 13:30	43796
62010	319	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Franchin	CANINO CAR S.N.C.	Milano (MI)	23/09/2014 14:29	43950
59863	322	Tecnocolor	2501/MCTC	Prova fari	OMNISERVICE S.r.l.	Vicidomini	BONALUMI GOMME S.R.L	Bergamo (BG)	15/07/2014 14:54	38885
54024	325	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Franchin	CONSORZIO REVISIONI BAGGIO	Milano (MI)	17/03/2014 10:09	39011
63455	337	Tecnocolor	2800/MCTC	Prova fari	OMNISERVICE S.r.l.	Vicidomini	MILANO REVISIONI SRL	Milano (MI)	15/10/2014 15:17	43699
51123	366	Ravaglioli	R 200 S	Prova giochi	OMNISERVICE S.r.l.	Bongiovanni	GARAVAGLIA AUTO SRL	Milano (MI)	04/02/2014 16:24	35740
56877	374	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Rulli	AUTOFFICINA CRESPI S.N.C.	Milano (MI)	14/05/2014 12:02	38925
63458	381	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	MILANO REVISIONI SRL	Milano (MI)	15/10/2014 15:27	43701
64692	430	Omci	PG 001	Prova giochi	OMNISERVICE S.r.l.	Franchin	CARROZZERIA MASTER CAR DI BATTAGLIA VINCENZO	Milano (MI)	29/10/2014 10:36	43778
